iter	locus	tip0	tip1	tip2	tip3
95	1	2	4	1	3
95	2	3	4	1	2
95	3	1	2	3	4
95	4	2	1	3	4
95	5	1	2	3	4
95	6	1	2	3	4
95	7	3	4	1	2
95	8	3	4	1	2
95	9	3	4	1	2
96	0	3	4	1	2
96	1	2	4	1	3
96	2	1	2	3	4
96	3	1	2	3	4
96	4	1	3	2	4
96	5	3	4	1	2
96	6	1	2	3	4
96	7	3	4	1	2
96	8	3	4	1	2
96	9	3	4	1	2
97	0	3	4	1	2
97	1	2	4	1	3
97	2	1	2	3	4
97	3	3	4	1	2
97	4	2	4	1	3
97	5	3	4	1	2
97	6	3	4	1	2
97	7	3	4	1	2
97	8	3	4	1	2
97	9	3	4	1	2
98	0	3	4	1	2
98	1	2	4	1	3
98	2	1	2	3	4
98	3	3	4	1	2
98	4	4	2	1	3
98	5	3	4	1	2
98	6	3	4	1	2
98	7	1	2	3	4
98	8	3	4	1	2
98	9	1	2	3	4
99	0	3	4	1	2
99	1	2	4	1	3
99	2	1	2	3	4
99	3	1	2	3	4
99	4	1	3	2	4
99	5	3	4	1	2
99	6	3	4	1	2
99	7	3	4	1	2
99	8	1	2	3	4
99	9	1	2	3	4
